stat, rank, value, (percentage) 
minecraft.picked_up.pitcher_pod: #9, 15(1%)
minecraft.used.stone: #27, 1(0%)
minecraft.killed_by.slime: #28, 1(0%)
minecraft.used.elytra: #28, 2(0%)
minecraft.custom.interact_with_loom: #28, 2(0%)
minecraft.picked_up.iron_nugget: #28, 1(0%)
minecraft.picked_up.stick: #28, 3(0%)
minecraft.picked_up.bone_meal: #28, 2(0%)
minecraft.picked_up.string: #28, 1(0%)
minecraft.picked_up.cooked_beef: #29, 59(0%)
minecraft.picked_up.cyan_shulker_box: #29, 1(0%)
minecraft.picked_up.player_head: #29, 5(0%)
minecraft.dropped.player_head: #29, 1(0%)
minecraft.dropped.firework_rocket: #30, 9(0%)
minecraft.custom.open_barrel: #30, 44(0%)
minecraft.custom.drop: #30, 34(0%)
minecraft.picked_up.egg: #30, 1(0%)
minecraft.custom.interact_with_crafting_table: #30, 2(0%)
minecraft.picked_up.elytra: #31, 3(0%)
minecraft.custom.tune_noteblock: #31, 3(0%)
minecraft.dropped.elytra: #32, 1(0%)
minecraft.custom.deaths: #32, 20(0%)
minecraft.custom.crouch_one_cm: #32, 47741(0%)
minecraft.picked_up.diamond_boots: #33, 1(0%)
minecraft.picked_up.golden_carrot: #33, 45(0%)
minecraft.custom.aviate_one_cm: #33, 3269927(0%)
minecraft.used.golden_carrot: #33, 13(0%)
minecraft.used.cooked_beef: #34, 15(0%)
minecraft.custom.damage_resisted: #34, 80(0%)
minecraft.custom.open_chest: #34, 27(0%)
minecraft.custom.walk_one_cm: #35, 694841(0%)
minecraft.used.firework_rocket: #35, 142(0%)
minecraft.custom.fall_one_cm: #36, 199329(0%)
minecraft.custom.sprint_one_cm: #36, 872256(0%)
minecraft.custom.damage_taken: #36, 17339(0%)
minecraft.custom.open_shulker_box: #36, 18(0%)
minecraft.custom.interact_with_lectern: #37, 3(0%)
minecraft.custom.damage_dealt: #37, 224(0%)
minecraft.custom.swim_one_cm: #38, 46565(0%)
minecraft.custom.sneak_time: #38, 17782(0%)
minecraft.custom.jump: #38, 1658(0%)
minecraft.custom.open_enderchest: #38, 2(0%)
minecraft.custom.climb_one_cm: #40, 1023(0%)
minecraft.custom.walk_under_water_one_cm: #41, 76509(0%)
minecraft.custom.leave_game: #42, 5(0%)
minecraft.custom.total_world_time: #46, 230088(0%)
minecraft.custom.play_time: #46, 230088(0%)
minecraft.custom.walk_on_water_one_cm: #48, 8484(0%)
minecraft.custom.fly_one_cm: #50, 356617(0%)
minecraft.custom.time_since_rest: #50, 2939(0%)
minecraft.custom.time_since_death: #52, 2811(0%)
