stat, rank, value, (percentage) 
minecraft.dropped.deepslate_emerald_ore: #4, 1(25%)
minecraft.custom.open_barrel: #31, 30(0%)
minecraft.custom.drop: #31, 34(0%)
minecraft.custom.damage_taken: #31, 27554(0%)
minecraft.used.potion: #31, 4(0%)
minecraft.custom.open_chest: #31, 50(0%)
minecraft.custom.sleep_in_bed: #31, 1(0%)
minecraft.picked_up.rotten_flesh: #31, 1(0%)
minecraft.picked_up.bamboo: #31, 1(0%)
minecraft.picked_up.egg: #32, 1(0%)
minecraft.picked_up.glass_bottle: #32, 1(0%)
minecraft.custom.damage_dealt: #32, 577(0%)
minecraft.custom.fall_one_cm: #33, 370905(0%)
minecraft.killed_by.player: #34, 3(0%)
minecraft.picked_up.elytra: #34, 2(0%)
minecraft.custom.deaths: #34, 19(0%)
minecraft.picked_up.firework_rocket: #34, 64(0%)
minecraft.custom.sneak_time: #34, 23678(0%)
minecraft.custom.walk_under_water_one_cm: #35, 114884(0%)
minecraft.custom.aviate_one_cm: #35, 2971840(0%)
minecraft.custom.open_shulker_box: #35, 26(0%)
minecraft.custom.jump: #36, 2266(0%)
minecraft.custom.time_since_rest: #36, 14332(0%)
minecraft.picked_up.carved_pumpkin: #36, 1(0%)
minecraft.used.golden_carrot: #36, 4(0%)
minecraft.custom.walk_on_water_one_cm: #37, 20589(0%)
minecraft.custom.walk_one_cm: #38, 539823(0%)
minecraft.custom.climb_one_cm: #38, 3651(0%)
minecraft.used.firework_rocket: #39, 120(0%)
minecraft.custom.time_since_death: #39, 14316(0%)
minecraft.picked_up.golden_carrot: #39, 8(0%)
minecraft.custom.interact_with_lectern: #42, 1(0%)
minecraft.custom.total_world_time: #43, 234292(0%)
minecraft.custom.play_time: #43, 234292(0%)
minecraft.custom.leave_game: #47, 3(0%)
minecraft.custom.fly_one_cm: #48, 559134(0%)
