Player Name,BadTimeWithScar,BdoubleO100,Biffa001,Biffa2001,CamM77,Cojomax99,Cub_Cam,Docm77,Duke_da_dog,EvilXisuma,GoodTimeWithScar,Grian,Grianch,HumanCleo,ImpulseCam,Jessassin,Jevination,Jura_Whitey,Kamalis1,Keralis1,Mumbo,MumboJumbo,PhoenixfireLune,PokePugx,PythonCam,PythonGB,Renthedog,Stressmonster101,Stressmonsterin,Tango,TangoCam,Tinfoilchef,TwoMuchGrian,WFRTNews,WelsCam,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,cubfan135,falsesymmetry,iJevin,impulseSV,isGall85,iskall85,joehillssays,joehillssees,renthebob,truesymmetry,tterrag,xBCrafted,xisumavoid
minecraft.broken.diamond_leggings,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
minecraft.broken.diamond_pickaxe,0,0,0,1,0,0,0,1,0,0,18,15,0,0,0,0,0,0,0,2,0,12,0,0,0,1,0,5,0,5,0,1,0,0,0,0,1,0,0,0,6,4,1,3,0,9,4,0,0,0,0,0,0
minecraft.broken.diamond_shovel,0,0,0,0,0,0,0,2,0,0,6,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13,3,0,0,1,0,4,3,0,0,0,0,0,0
minecraft.broken.diamond_sword,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
minecraft.broken.fishing_rod,0,4,0,16,0,0,0,16,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,4,0,14,0,1,1,0,0,0,0,0,0
minecraft.broken.flint_and_steel,0,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,5,4,0,0,0,0,0,0
minecraft.broken.golden_axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
minecraft.broken.golden_boots,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.golden_chestplate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.golden_helmet,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
minecraft.broken.golden_leggings,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
minecraft.broken.golden_sword,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.iron_axe,0,5,0,1,0,0,0,1,0,0,9,1,0,0,0,6,0,0,0,9,0,2,0,0,0,6,1,5,0,1,0,3,0,0,0,7,0,0,3,4,4,2,2,6,0,7,3,0,0,0,0,1,0
minecraft.broken.iron_boots,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
minecraft.broken.iron_chestplate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.iron_helmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,2,1,0,6,0,0,0,0,0,0,0
minecraft.broken.iron_hoe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,2,0,0,0,0,0,0
minecraft.broken.iron_leggings,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
minecraft.broken.iron_pickaxe,0,12,0,5,0,0,0,8,0,0,15,13,0,0,0,6,0,0,0,60,0,3,0,0,0,4,7,29,0,15,0,10,0,0,0,4,0,0,11,48,11,12,16,15,0,0,4,0,0,0,0,9,0
minecraft.broken.iron_shovel,0,11,0,0,0,0,0,11,0,0,15,2,0,0,0,5,0,0,0,15,0,2,0,0,0,1,1,7,0,1,0,5,0,0,0,3,5,0,4,0,7,5,2,11,0,0,7,0,0,0,0,3,0
minecraft.broken.iron_sword,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,1,2,0,0,1,0,0,0,0,0,0
minecraft.broken.leather_boots,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0
minecraft.broken.leather_chestplate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.leather_helmet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.leather_leggings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
minecraft.broken.shears,0,15,0,1,0,0,0,8,0,0,332,29,0,1,0,1,0,0,0,17,0,21,0,0,0,4,67,0,0,24,0,3,0,0,0,101,424,0,11,18,62,75,22,15,0,26,22,0,0,0,0,1,0
minecraft.broken.shield,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,1,0,0,0,0,0,0,0,0,0
minecraft.broken.stone_axe,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,27,1,4,0,0,0,0,2,0,0,0,0,0,0
minecraft.broken.stone_hoe,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,2,0,1,1,0,0,0,0,0,0
minecraft.broken.stone_pickaxe,0,8,0,1,0,0,0,1,0,0,30,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,6,0,0,0,0,0,0,3,5,1,3,2,1,0,1,13,0,0,0,0,2,0
minecraft.broken.stone_shovel,0,3,0,5,0,0,0,1,0,0,112,2,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,15,1,0,1,1,0,2,4,0,0,0,0,1,0
minecraft.broken.stone_sword,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
minecraft.broken.wooden_axe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.wooden_hoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
minecraft.broken.wooden_pickaxe,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
minecraft.broken.wooden_shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,4,0,0,0,0,0,0,0,0,0
minecraft.crafted.acacia_boat,0,0,0,0,0,0,0,0,0,0,26,3,0,1,0,1,0,0,0,0,0,6,0,0,0,0,3,5,0,0,0,0,0,0,0,0,18,0,0,0,2,3,1,0,0,14,0,0,0,0,0,0,0
minecraft.crafted.acacia_button,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,27,0,26,0,0,4,0,0,0,0,0,0,0
minecraft.crafted.acacia_door,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,6,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,72,0,0,0,3,18,0,0,0,30,0,0,0,0,0,0,0
minecraft.crafted.acacia_fence,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,153,0,267,0,0,0,0,24,30,0,0,0,57,0,0,0,0,285,0,0,0,945,0,90,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.acacia_fence_gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,330,0,0,0,0,0,0,0,0,19,0,0,0,51,5,2,0,0,32,0,0,0,0,0,0,0
minecraft.crafted.acacia_planks,0,100,0,0,0,0,0,652,0,0,10054,740,0,0,0,84,0,0,0,412,0,7506,0,0,0,40,1276,3480,0,4,0,2816,0,0,0,8,8456,0,116,880,15278,2080,740,288,0,13372,460,0,0,0,0,0,0
minecraft.crafted.acacia_pressure_plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0
minecraft.crafted.acacia_sign,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
minecraft.crafted.acacia_slab,0,0,0,0,0,0,0,0,0,0,492,6,0,0,0,6,0,0,0,0,0,630,0,0,0,0,138,0,0,0,0,0,0,0,0,0,72,0,12,24,336,0,0,0,0,138,306,0,0,0,0,0,0
minecraft.crafted.acacia_stairs,0,8,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,128,0,0,0,0,0,0,0,0,8,272,0,0,168,304,0,0,0,0,8,96,0,0,0,0,0,0
minecraft.crafted.acacia_trapdoor,0,8,0,0,0,0,0,178,0,0,1378,10,0,0,0,0,0,0,0,28,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,1566,0,0,48,3869,174,0,0,0,6,60,0,0,0,0,0,0
minecraft.crafted.acacia_wood,0,0,0,0,0,0,0,0,0,0,837,9,0,0,0,0,0,0,0,0,0,192,0,0,0,45,3,294,0,0,0,0,0,0,0,0,39,0,0,252,3162,279,0,3,0,360,9,0,0,0,0,0,0
minecraft.crafted.activator_rail,0,0,0,0,0,0,0,12,0,0,6,124,0,0,0,0,0,0,0,0,0,78,0,0,0,0,6,0,0,6,0,0,0,0,0,0,48,0,12,0,6,294,36,12,0,24,0,0,0,0,0,0,0
minecraft.crafted.air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.andesite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,0,0,0,3264,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.andesite_slab,0,102,0,0,0,0,0,0,0,0,2534,84,0,0,0,0,0,0,0,0,0,62,0,0,0,0,294,0,0,0,0,0,0,0,0,0,1332,0,0,0,4256,144,0,0,0,346,0,0,0,0,0,0,0
minecraft.crafted.andesite_stairs,0,0,0,0,0,0,0,0,0,0,248,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,8,0,0,0,0,0,0,168,0,0,8,199,8,0,0,0,104,0,0,0,0,0,0,0
minecraft.crafted.andesite_wall,0,0,0,0,0,0,0,6,0,0,264,48,0,0,0,0,0,0,0,42,0,0,0,0,0,0,72,0,0,714,0,0,0,0,0,0,702,0,6,0,1930,36,0,60,0,114,0,0,0,0,0,0,0
minecraft.crafted.anvil,0,8,0,10,0,0,0,50,0,0,77,191,0,1,0,1,0,0,0,6,0,22,0,0,0,18,105,36,0,86,0,15,0,0,0,7,70,0,15,6,202,51,50,42,0,116,20,0,0,0,0,4,0
minecraft.crafted.apple,0,0,0,6,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,55,27,8,0,0,0,23,0,0,0,0,0,0,0,0,648,31,0,75,0,553,0,0,0,0,0,0,0
minecraft.crafted.armor_stand,0,20,0,17,0,0,0,169,0,0,216,51,0,239,0,0,0,0,0,0,0,131,0,0,0,16,3,76,0,38,0,0,0,0,0,149,564,0,19,878,76,195,39,141,0,199,39,0,0,0,0,0,0
minecraft.crafted.arrow,0,4,0,20,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0,48,0,0,0,0,0,0,0,60,1616,0,11,222,0,0,0,0,0,0,0,0,0
minecraft.crafted.baked_potato,0,0,0,1444,0,0,0,0,0,64,369,656,0,0,0,184,0,0,0,71,0,30,0,0,0,768,1838,79,0,1202,0,1162,0,0,0,99,276,0,451,155,919,763,0,0,0,510,2128,0,0,0,0,159,0
minecraft.crafted.barrel,0,375,0,0,0,0,0,21,0,0,979,219,0,4,0,0,0,0,0,140,0,135,0,0,0,4,194,21,0,49,0,0,0,0,0,31,480,0,1,133,253,323,1,19,0,152,56,0,0,0,0,0,0
minecraft.crafted.beacon,0,0,0,6,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,13,0,0,0,4,3,3,0,10,0,0,0,0,0,2,17,0,0,0,55,7,8,5,0,199,0,0,0,0,0,0,0
minecraft.crafted.beetroot_soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.bell,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,30,0,0,0,0,0,0,0
minecraft.crafted.birch_boat,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,51,0,22,0,0,0,0,0,0,3,0,1,1,11,26,3,25,0,23,1,0,0,0,0,1,0
minecraft.crafted.birch_button,0,2,0,0,0,0,0,128,0,0,138,68,0,0,0,0,0,0,0,0,0,3,0,0,0,0,67,0,0,119,0,0,0,0,0,0,372,0,0,0,144,14,6818,2,0,184,1,0,0,0,0,0,0
minecraft.crafted.birch_door,0,0,0,3,0,0,0,3,0,0,78,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,33,0,0,9,0,0,0,0,0,3,9,0,12,6,33,3,3,3,0,12,3,0,0,0,0,0,0
minecraft.crafted.birch_fence,0,39,0,0,0,0,0,33,0,0,102,114,0,0,0,27,0,0,0,42,0,0,0,0,0,0,33,63,0,144,0,3,0,0,0,21,873,0,114,0,345,75,0,21,0,195,0,0,0,0,0,3,0
minecraft.crafted.birch_fence_gate,0,6,0,0,0,0,0,20,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,407,0,0,0,0,0,0,49,0,0,0,4,99,0,97,0,36,0,0,0,0,0,1,0
minecraft.crafted.birch_planks,0,1016,0,488,0,0,0,3800,0,80,6168,8102,0,72,0,88,0,0,0,2124,0,6330,0,128,0,344,14122,2848,0,15008,0,140,0,0,0,3064,13772,0,520,1236,16470,15303,10728,21428,0,15452,3528,0,0,0,280,176,0
minecraft.crafted.birch_pressure_plate,0,5,0,0,0,0,0,32,0,0,181,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,73,0,1,0,0,0,0,108,0,1,25,7,37,0,2,0,5,7,0,0,0,0,0,0
minecraft.crafted.birch_sign,0,9,0,0,0,0,0,54,0,0,9,484,0,0,0,0,0,12,0,18,0,0,0,60,0,0,228,63,0,6,0,0,0,0,0,0,9,0,0,0,291,84,15,315,0,360,84,0,0,0,150,0,0
minecraft.crafted.birch_slab,0,42,0,0,0,0,0,192,0,0,378,948,0,0,0,6,0,0,0,426,0,510,0,0,0,0,316,300,0,648,0,0,0,0,0,96,8118,0,0,12,14894,9401,0,3156,0,1132,854,0,0,0,0,132,0
minecraft.crafted.birch_stairs,0,32,0,0,0,0,0,0,0,0,248,944,0,0,0,0,0,0,0,200,0,408,0,0,0,0,96,176,0,40,0,8,0,0,0,8,1504,0,0,112,4064,2912,0,992,0,88,0,0,0,0,0,32,0
minecraft.crafted.birch_trapdoor,0,20,0,0,0,0,0,64,0,0,174,10,0,0,0,0,0,0,0,226,0,2,0,0,0,0,17,2,0,966,0,4,0,0,0,0,364,0,10,20,112,756,0,68,0,22,110,0,0,0,0,20,0
minecraft.crafted.birch_wood,0,138,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,408,0,0,0,0,0,0,0,0,15,87,0,0,0,381,9,0,0,0,390,0,0,0,0,0,0,0
minecraft.crafted.black_banner,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,26,0,0,61,0,0,0,0,0,0,135,0,0,0,67,24,27,42,0,3,0,0,0,0,0,0,0
minecraft.crafted.black_bed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,1,1,197,1,0,0,0,3,2,0,0,0,0,0,0
minecraft.crafted.black_carpet,0,0,0,0,0,0,0,1304,0,0,1071,3,0,0,0,0,0,0,0,0,0,0,0,0,0,285,18,123,0,21,0,0,0,0,0,9,1239,0,12,45,145,447,1596,744,0,453,0,0,0,0,0,0,0
minecraft.crafted.black_concrete_powder,0,0,0,0,0,0,0,0,0,0,19800,6717,0,0,0,0,0,0,0,0,0,624,0,0,0,0,1952,1440,0,208,0,0,0,0,0,1216,21800,0,3208,5576,23008,28824,6896,2712,0,3744,160,0,0,0,0,0,0
minecraft.crafted.black_dye,0,67,0,0,0,0,0,608,0,0,6686,4893,0,2,0,0,0,0,0,33,0,129,0,0,0,672,889,404,0,0,0,0,0,0,0,0,4877,0,520,444,1544,648,161,737,0,3701,122,0,0,0,0,0,0
minecraft.crafted.black_glazed_terracotta,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,4,0,0,0,0,3,176,0,0,0,0,0,0
minecraft.crafted.black_shulker_box,0,0,0,0,0,0,0,5,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,1,0,1,0,0,0,0,0,0,12,0,2,7,17,3,24,0,0,21,0,0,0,0,0,0,0
minecraft.crafted.black_stained_glass,0,8,0,0,0,0,0,1344,0,0,6824,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3240,432,0,0,0,0,0,0,0,5224,11144,0,0,0,2864,4664,256,200,0,176,824,0,0,0,0,64,0
minecraft.crafted.black_stained_glass_pane,0,0,0,0,0,0,0,16,0,0,608,32,0,0,0,0,0,0,0,0,0,16,0,0,0,48,2608,32,0,0,0,0,0,0,0,32,1640,0,0,96,2096,16,0,32,0,16,192,0,0,0,0,48,0
minecraft.crafted.black_terracotta,0,0,0,16,0,0,0,0,0,0,5168,440,0,0,0,0,0,0,0,0,0,72,0,0,0,12,0,648,0,16,0,0,0,0,0,0,3240,0,0,8,9392,256,0,64,0,980,1608,0,0,0,0,0,0
minecraft.crafted.black_wool,0,0,0,0,0,0,0,114,0,0,494,131,0,0,0,0,0,0,0,0,0,0,0,0,0,6,88,128,0,42,0,8,0,0,0,0,292,0,32,12,17,216,172,777,0,139,31,0,0,0,0,0,0
minecraft.crafted.blast_furnace,0,3,0,0,0,0,0,7,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,64,0,2,0,0,0,0,256,0,0,1,146,75,0,1,0,66,1,0,0,0,0,0,0
minecraft.crafted.blaze_powder,0,0,0,24,0,0,0,82,0,0,626,70,0,4,0,0,0,0,0,2,0,146,0,0,0,10,140,76,0,2526,0,190,0,0,0,20,48,0,86,30,2846,116,1140,294,0,172,26,0,0,0,0,0,0
minecraft.crafted.blue_banner,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,54,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.blue_bed,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,29,0,0,0,0,2,0,0,2,54,1,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.blue_carpet,0,78,0,0,0,0,0,3,0,0,150,6,0,0,0,0,0,0,0,0,0,57,0,0,0,0,507,0,0,192,0,357,0,0,0,12,657,0,0,183,6033,48,20703,1590,0,108,9,0,0,0,0,0,0
minecraft.crafted.blue_concrete_powder,0,1320,0,0,0,0,0,0,0,0,2088,369,0,0,0,0,0,0,0,0,0,8,0,0,0,256,8,0,0,3336,0,0,0,0,0,64,440,0,64,0,1704,552,8,128,0,416,0,0,0,0,0,0,0
minecraft.crafted.blue_dye,0,29,0,0,0,0,0,960,0,0,4270,5380,0,18,0,0,0,0,0,68,0,194,0,0,0,563,583,333,0,759,0,20,0,0,0,0,5749,0,284,79,3686,276,595,166,0,2269,30,0,0,0,0,0,0
minecraft.crafted.blue_glazed_terracotta,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,64,0,0,0,0,0,0,0,64,0,0,0,0,0,0,987,0,0,0,0,0,0
minecraft.crafted.blue_ice,0,0,0,0,0,0,0,703,0,0,0,4,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1744,3956,0,402,0,0,0,0,0,0,0,0,98,0,2503,0,0,20,0,1952,0,0,0,0,0,0,0
minecraft.crafted.blue_orchid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.crafted.blue_shulker_box,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,3,0,15,0,0,0,0,0,0,10,0,2,2,9,3,3,7,0,5,1,0,0,0,0,0,0
minecraft.crafted.blue_stained_glass,0,0,0,0,0,0,0,4296,0,0,4592,8,0,0,0,0,0,0,0,0,0,1032,0,0,0,344,2304,16,0,1784,0,16,0,0,0,1872,152,0,8,8,1000,1936,0,0,0,2336,120,0,0,0,0,192,0
