stat, rank, value, (percentage) 
minecraft.picked_up.lingering_potion: #2, 3(14%)
minecraft.picked_up.carved_pumpkin: #30, 33(0%)
minecraft.mined.deepslate_lapis_ore: #30, 9(0%)
minecraft.picked_up.lapis_lazuli: #30, 118(0%)
minecraft.custom.swim_one_cm: #30, 121808(0%)
minecraft.dropped.torch: #30, 14(0%)
minecraft.used.snowball: #30, 5(0%)
minecraft.used.player_head: #30, 2(0%)
minecraft.picked_up.ender_pearl: #30, 134(0%)
minecraft.dropped.glass_bottle: #30, 3(0%)
minecraft.crafted.chest: #30, 23(0%)
minecraft.used.pumpkin_pie: #30, 7(0%)
minecraft.picked_up.spruce_log: #30, 60(0%)
minecraft.used.bookshelf: #30, 4(0%)
minecraft.dropped.stick: #30, 14(0%)
minecraft.picked_up.spruce_stairs: #30, 1(0%)
minecraft.crafted.glass: #30, 31(0%)
minecraft.used.water_bucket: #30, 4(0%)
minecraft.dropped.dirt: #30, 4(0%)
minecraft.dropped.snowball: #30, 1(0%)
minecraft.mined.terracotta: #30, 2(0%)
minecraft.picked_up.terracotta: #30, 2(0%)
minecraft.crafted.diamond_sword: #31, 1(1%)
minecraft.picked_up.diamond: #31, 66(0%)
minecraft.custom.walk_one_cm: #31, 2851004(0%)
minecraft.killed_by.ravager: #31, 2(0%)
minecraft.custom.aviate_one_cm: #31, 22418687(0%)
minecraft.picked_up.player_head: #31, 27(0%)
minecraft.crafted.furnace: #31, 4(0%)
minecraft.picked_up.pumpkin_pie: #31, 16(0%)
minecraft.used.firework_rocket: #31, 606(0%)
minecraft.used.chest: #31, 29(0%)
minecraft.used.lantern: #31, 6(0%)
minecraft.mined.spruce_trapdoor: #31, 3(0%)
minecraft.dropped.golden_carrot: #31, 4(0%)
minecraft.picked_up.iron_ingot: #31, 19(0%)
minecraft.picked_up.iron_nugget: #31, 24(0%)
minecraft.mined.oak_log: #31, 24(0%)
minecraft.mined.deepslate_iron_ore: #31, 5(0%)
minecraft.dropped.diamond: #31, 1(0%)
minecraft.picked_up.spruce_sapling: #31, 3(0%)
minecraft.picked_up.glass_bottle: #31, 2(0%)
minecraft.mined.moss_carpet: #31, 1(0%)
minecraft.mined.oak_planks: #31, 1(0%)
minecraft.picked_up.grass_block: #31, 33(0%)
minecraft.picked_up.oak_sapling: #31, 2(0%)
minecraft.mined.dark_oak_log: #31, 8(0%)
minecraft.dropped.elytra: #32, 2(1%)
minecraft.custom.jump: #32, 14741(0%)
minecraft.crafted.diamond_pickaxe: #32, 1(0%)
minecraft.custom.fall_one_cm: #32, 364509(0%)
minecraft.custom.sprint_one_cm: #32, 2483556(0%)
minecraft.custom.open_chest: #32, 699(0%)
minecraft.picked_up.furnace: #32, 3(0%)
minecraft.custom.sleep_in_bed: #32, 14(0%)
minecraft.custom.crouch_one_cm: #32, 206269(0%)
minecraft.custom.interact_with_furnace: #32, 18(0%)
minecraft.mined.furnace: #32, 1(0%)
minecraft.picked_up.spruce_trapdoor: #32, 3(0%)
minecraft.crafted.torch: #32, 48(0%)
minecraft.dropped.player_head: #32, 3(0%)
minecraft.used.diamond_axe: #32, 272(0%)
minecraft.picked_up.raw_iron: #32, 22(0%)
minecraft.used.cyan_shulker_box: #32, 2(0%)
minecraft.mined.oak_leaves: #32, 23(0%)
minecraft.used.torch: #32, 24(0%)
minecraft.crafted.bucket: #32, 1(0%)
minecraft.crafted.spruce_trapdoor: #32, 2(0%)
minecraft.custom.mob_kills: #32, 517(0%)
minecraft.custom.inspect_hopper: #32, 2(0%)
minecraft.picked_up.egg: #32, 1(0%)
minecraft.picked_up.dark_oak_log: #32, 6(0%)
minecraft.used.birch_planks: #32, 1(0%)
minecraft.picked_up.bone_meal: #32, 1(0%)
minecraft.crafted.air: #32, 0(0%)
minecraft.crafted.diamond_axe: #33, 1(1%)
minecraft.custom.walk_under_water_one_cm: #33, 238658(0%)
minecraft.custom.open_barrel: #33, 116(0%)
minecraft.picked_up.firework_rocket: #33, 328(0%)
minecraft.used.furnace: #33, 3(0%)
minecraft.killed.spider: #33, 1(0%)
minecraft.mined.torch: #33, 7(0%)
minecraft.picked_up.lead: #33, 1(0%)
minecraft.dropped.cobblestone: #33, 15(0%)
minecraft.picked_up.cyan_shulker_box: #33, 1(0%)
minecraft.custom.open_enderchest: #33, 10(0%)
minecraft.picked_up.oak_planks: #33, 2(0%)
minecraft.picked_up.arrow: #33, 8(0%)
minecraft.used.diamond_sword: #33, 80(0%)
minecraft.used.spruce_trapdoor: #33, 2(0%)
minecraft.picked_up.birch_log: #33, 8(0%)
minecraft.mined.tall_grass: #33, 1(0%)
minecraft.mined.iron_ore: #33, 3(0%)
minecraft.used.bucket: #33, 5(0%)
minecraft.picked_up.bone: #33, 2(0%)
minecraft.crafted.crafting_table: #34, 4(0%)
minecraft.custom.sneak_time: #34, 75733(0%)
minecraft.picked_up.diamond_shovel: #34, 1(0%)
minecraft.mined.player_head: #34, 1(0%)
minecraft.picked_up.oak_log: #34, 45(0%)
minecraft.picked_up.stick: #34, 28(0%)
minecraft.crafted.stick: #34, 72(0%)
minecraft.used.dirt: #34, 138(0%)
minecraft.mined.wall_torch: #34, 2(0%)
minecraft.picked_up.diamond_block: #34, 1(0%)
minecraft.picked_up.dirt: #34, 151(0%)
minecraft.picked_up.rotten_flesh: #34, 7(0%)
minecraft.mined.grass: #34, 6(0%)
minecraft.crafted.birch_planks: #34, 24(0%)
minecraft.dropped.iron_nugget: #34, 2(0%)
minecraft.mined.grass_block: #34, 24(0%)
minecraft.picked_up.gunpowder: #34, 3(0%)
minecraft.used.diamond_pickaxe: #34, 150(0%)
minecraft.picked_up.moss_carpet: #34, 1(0%)
minecraft.crafted.iron_ingot: #34, 12(0%)
minecraft.picked_up.diorite: #34, 4(0%)
minecraft.mined.moss_block: #34, 2(0%)
minecraft.custom.interact_with_crafting_table: #35, 42(0%)
minecraft.mined.crafting_table: #35, 3(0%)
minecraft.picked_up.crafting_table: #35, 3(0%)
minecraft.custom.drop: #35, 75(0%)
minecraft.picked_up.torch: #35, 24(0%)
minecraft.picked_up.cobblestone: #35, 79(0%)
minecraft.mined.dirt: #35, 24(0%)
minecraft.killed.creeper: #35, 1(0%)
minecraft.picked_up.string: #35, 1(0%)
minecraft.mined.stone: #35, 22(0%)
minecraft.used.crafting_table: #36, 4(0%)
minecraft.custom.climb_one_cm: #36, 19634(0%)
minecraft.custom.damage_dealt: #36, 1323(0%)
minecraft.picked_up.moss_block: #36, 2(0%)
minecraft.killed.skeleton: #36, 1(0%)
minecraft.killed.zombie: #36, 2(0%)
minecraft.custom.fly_one_cm: #47, 3602610(0%)
minecraft.custom.leave_game: #49, 30(0%)
minecraft.custom.play_time: #50, 1521641(0%)
minecraft.custom.total_world_time: #50, 1521641(0%)
minecraft.custom.walk_on_water_one_cm: #50, 19605(0%)
minecraft.custom.time_since_rest: #54, 6066(0%)
minecraft.custom.time_since_death: #63, 5346(0%)
