stat, rank, value, (percentage) 
minecraft.dropped.soul_lantern: #8, 1(0%)
minecraft.custom.player_kills: #33, 1(0%)
minecraft.picked_up.player_head: #33, 7(0%)
minecraft.dropped.firework_rocket: #33, 65(0%)
minecraft.picked_up.filled_map: #33, 3(0%)
minecraft.custom.swim_one_cm: #34, 41339(0%)
minecraft.custom.crouch_one_cm: #34, 117430(0%)
minecraft.custom.sleep_in_bed: #34, 4(0%)
minecraft.used.ender_pearl: #34, 1(0%)
minecraft.dropped.player_head: #34, 1(0%)
minecraft.custom.damage_taken: #35, 6000(0%)
minecraft.picked_up.carved_pumpkin: #35, 7(0%)
minecraft.used.diamond_pickaxe: #35, 114(0%)
minecraft.picked_up.firework_rocket: #36, 99(0%)
minecraft.custom.sprint_one_cm: #37, 755308(0%)
minecraft.picked_up.golden_carrot: #37, 8(0%)
minecraft.custom.open_enderchest: #37, 4(0%)
minecraft.custom.open_shulker_box: #37, 27(0%)
minecraft.custom.walk_one_cm: #38, 743138(0%)
minecraft.custom.open_chest: #38, 44(0%)
minecraft.picked_up.cobblestone: #38, 4(0%)
minecraft.custom.jump: #39, 2066(0%)
minecraft.custom.fall_one_cm: #39, 50283(0%)
minecraft.custom.open_barrel: #39, 23(0%)
minecraft.picked_up.ender_pearl: #39, 1(0%)
minecraft.custom.drop: #40, 35(0%)
minecraft.custom.sneak_time: #41, 39010(0%)
minecraft.custom.aviate_one_cm: #41, 2278896(0%)
minecraft.custom.climb_one_cm: #41, 3980(0%)
minecraft.custom.damage_dealt: #41, 147(0%)
minecraft.used.firework_rocket: #43, 58(0%)
minecraft.used.golden_carrot: #44, 1(0%)
minecraft.custom.time_since_rest: #49, 10326(0%)
minecraft.custom.walk_under_water_one_cm: #50, 37781(0%)
minecraft.custom.walk_on_water_one_cm: #52, 11021(0%)
minecraft.custom.fly_one_cm: #57, 400796(0%)
minecraft.custom.time_since_death: #57, 10143(0%)
minecraft.custom.play_time: #58, 436425(0%)
minecraft.custom.total_world_time: #58, 436425(0%)
minecraft.custom.leave_game: #59, 5(0%)
