stat, rank, value, (percentage) 
minecraft.dropped.bell: #3, 2(6%)
minecraft.mined.fire: #31, 3(0%)
minecraft.picked_up.leather: #31, 1(0%)
minecraft.picked_up.bone_meal: #31, 1(0%)
minecraft.custom.sneak_time: #32, 99013(0%)
minecraft.custom.interact_with_smithing_table: #32, 1(0%)
minecraft.used.firework_rocket: #32, 328(0%)
minecraft.used.ender_pearl: #32, 2(0%)
minecraft.picked_up.filled_map: #32, 4(0%)
minecraft.used.stone: #32, 16(0%)
minecraft.custom.deaths: #33, 10(0%)
minecraft.custom.jump: #33, 6082(0%)
minecraft.custom.fall_one_cm: #33, 165326(0%)
minecraft.picked_up.paper: #33, 3(0%)
minecraft.custom.sprint_one_cm: #34, 1568274(0%)
minecraft.custom.damage_taken: #34, 6041(0%)
minecraft.custom.aviate_one_cm: #34, 6287240(0%)
minecraft.used.golden_carrot: #34, 12(0%)
minecraft.custom.climb_one_cm: #35, 27459(0%)
minecraft.dropped.carved_pumpkin: #35, 1(0%)
minecraft.dropped.diamond_pickaxe: #36, 1(0%)
minecraft.picked_up.elytra: #36, 2(0%)
minecraft.picked_up.diamond_pickaxe: #36, 2(0%)
minecraft.custom.interact_with_lectern: #36, 4(0%)
minecraft.custom.walk_one_cm: #36, 900186(0%)
minecraft.custom.open_barrel: #36, 26(0%)
minecraft.custom.open_shulker_box: #36, 32(0%)
minecraft.picked_up.ender_pearl: #37, 5(0%)
minecraft.used.diamond_pickaxe: #37, 23(0%)
minecraft.picked_up.golden_carrot: #38, 7(0%)
minecraft.custom.drop: #39, 36(0%)
minecraft.custom.interact_with_anvil: #39, 1(0%)
minecraft.custom.open_chest: #39, 34(0%)
minecraft.picked_up.firework_rocket: #41, 32(0%)
minecraft.picked_up.carved_pumpkin: #42, 1(0%)
minecraft.custom.damage_dealt: #43, 30(0%)
minecraft.custom.walk_under_water_one_cm: #46, 70850(0%)
minecraft.custom.walk_on_water_one_cm: #48, 27888(0%)
minecraft.custom.fly_one_cm: #49, 2851524(0%)
minecraft.custom.play_time: #52, 928726(0%)
minecraft.custom.total_world_time: #52, 928726(0%)
minecraft.custom.leave_game: #56, 8(0%)
minecraft.custom.time_since_rest: #64, 1233(0%)
minecraft.custom.time_since_death: #68, 1190(0%)
